Entity,Year,Cumulative mass balance
Gulkana Glacier,1965,0
Gulkana Glacier,1966,-0.74
Gulkana Glacier,1967,-0.56
Gulkana Glacier,1968,-1.05
Gulkana Glacier,1969,-2.26
Gulkana Glacier,1970,-2.31
Gulkana Glacier,1971,-2.79
Gulkana Glacier,1972,-3.6
Gulkana Glacier,1973,-3.6
Gulkana Glacier,1974,-5.51
Gulkana Glacier,1975,-6.32
Gulkana Glacier,1976,-6.38
Gulkana Glacier,1977,-6.05
Gulkana Glacier,1978,-6.13
Gulkana Glacier,1979,-6.41
Gulkana Glacier,1980,-5.79
Gulkana Glacier,1981,-5.9
Gulkana Glacier,1982,-6.41
Gulkana Glacier,1983,-6.03
Gulkana Glacier,1984,-6.53
Gulkana Glacier,1985,-6.79
Gulkana Glacier,1986,-6.76
Gulkana Glacier,1987,-7.39
Gulkana Glacier,1988,-7.33
Gulkana Glacier,1989,-7.75
Gulkana Glacier,1990,-8.42
Gulkana Glacier,1991,-8.84
Gulkana Glacier,1992,-9.55
Gulkana Glacier,1993,-11.06
Gulkana Glacier,1994,-11.45
Gulkana Glacier,1995,-12.47
Gulkana Glacier,1996,-12.93
Gulkana Glacier,1997,-14.85
Gulkana Glacier,1998,-15.3
Gulkana Glacier,1999,-16.71
Gulkana Glacier,2000,-16.66
Gulkana Glacier,2001,-17.61
Gulkana Glacier,2002,-18.14
Gulkana Glacier,2003,-17.56
Gulkana Glacier,2004,-19.97
Gulkana Glacier,2005,-20.46
Gulkana Glacier,2006,-19.99
Gulkana Glacier,2007,-20.16
Gulkana Glacier,2008,-18.8
Gulkana Glacier,2009,-19.37
Gulkana Glacier,2010,-20.99
Gulkana Glacier,2011,-22.62
Gulkana Glacier,2012,-23
Gulkana Glacier,2013,-24.2
Gulkana Glacier,2014,-24.26
Gulkana Glacier,2015,-25.59
Gulkana Glacier,2016,-26.88
Gulkana Glacier,2017,-28.68
Gulkana Glacier,2018,-29.06
Gulkana Glacier,2019,-31.01
Lemon Creek Glacier,1952,1.15
Lemon Creek Glacier,1953,0.67
Lemon Creek Glacier,1954,0.57
Lemon Creek Glacier,1955,1.77
Lemon Creek Glacier,1956,1.21
Lemon Creek Glacier,1957,1.3
Lemon Creek Glacier,1958,0.8
Lemon Creek Glacier,1959,-0.02
Lemon Creek Glacier,1960,-0.76
Lemon Creek Glacier,1961,-0.92
Lemon Creek Glacier,1962,-1.53
Lemon Creek Glacier,1963,-1.28
Lemon Creek Glacier,1964,-0.16
Lemon Creek Glacier,1965,0
Lemon Creek Glacier,1966,-0.41
Lemon Creek Glacier,1967,-0.93
Lemon Creek Glacier,1968,-1.07
Lemon Creek Glacier,1969,-0.78
Lemon Creek Glacier,1970,-0.79
Lemon Creek Glacier,1971,-1.11
Lemon Creek Glacier,1972,-1.68
Lemon Creek Glacier,1973,-2.12
Lemon Creek Glacier,1974,-2.41
Lemon Creek Glacier,1975,-2.04
Lemon Creek Glacier,1976,-2.21
Lemon Creek Glacier,1977,-2.61
Lemon Creek Glacier,1978,-3.33
Lemon Creek Glacier,1979,-3.87
Lemon Creek Glacier,1980,-4.06
Lemon Creek Glacier,1981,-4.79
Lemon Creek Glacier,1982,-5.14
