id,binomial,replicate,included_in_lpr2024,citation,class,order,family,genus,species,subspecies,common_name,location,country,all_countries,region,ipbes_region,ipbes_subregion,latitude,longitude,specific_location,system,t_realm,t_biome,fw_realm,fw_biome,m_realm,m_ocean,m_biome,units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,native,unnamed_102,n_obs,first_obs_year,last_obs_year,time_span,n_gaps,max_gap,continuity_ratio,zero_count,zero_share,years_since_last_obs,has_coordinates,has_country,has_valid_coordinates,has_binomial,has_class,has_order,has_family,has_genus,has_species,has_taxonomy_hierarchy,unit_category,unit_usable,system_group
826,Alosa_sapidissima,0,1,"US Fish and Wildlife Service (2006). ""Historic Data Anadromous Fish Returns Merrimack River."" from http://www.fws.gov/r5cneafp/returns.htm.| US Fish and Wildlife Service. 2019. Anadromous Fish Returns - Merrimack River. https://www.fws.gov/northeast/cnefro/returns.html.",Actinopteri,Clupeiformes,Clupeidae,Alosa,sapidissima,,American shad,"Essex Dam Fish Lift, Merrimack River, Lawrence, Massachusetts, USA",united states,United States,North America,Americas,North America,42.70009,-71.16693,1,freshwater,,,Nearctic,Temperate coastal rivers,,,,fish counts - known returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5629.0,5497.0,12793.0,18173.0,16909.0,12359.0,7875.0,6013.0,16098.0,20796.0,8599.0,4349.0,13861.0,11322.0,22661.0,27891.0,56461.0,72800.0,76717.0,54586.0,55620.0,36593.0,6382.0,1205.0,15876.0,25116.0,23199.0,10442.0,13835.0,21396.0,37149.0,38107.0,89467.0,67528.0,62846.0,29060.0,,,1,,36.0,1983.0,2018.0,36.0,0.0,0.0,1.0,0.0,0.0,2.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
879,Salmo_salar,0,1,"US Fish and Wildlife Service (2006). ""Historic Data Anadromous Fish Returns Merrimack River."" from http://www.fws.gov/r5cneafp/returns.htm.| US Fish and Wildlife Service. 2019. Anadromous Fish Returns - Merrimack River. https://www.fws.gov/northeast/cnefro/returns.html.",Actinopteri,Salmoniformes,Salmonidae,Salmo,salar,,Atlantic salmon,"Essex Dam Fish Lift, Merrimack River, Lawrence, Massachusetts, USA",united states,United States,North America,Americas,North America,42.70009,-71.16693,1,freshwater,,,Nearctic,Temperate coastal rivers,,,,fish counts - known returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,114.0,115.0,213.0,103.0,139.0,65.0,84.0,248.0,332.0,199.0,61.0,21.0,34.0,76.0,71.0,123.0,185.0,82.0,83.0,56.0,147.0,129.0,34.0,91.0,74.0,119.0,81.0,85.0,402.0,137.0,22.0,75.0,13.0,6.0,5.0,10.0,,,1,,37.0,1982.0,2018.0,37.0,0.0,0.0,1.0,0.0,0.0,2.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
4539,Emydoidea_blandingii,0,1,"Standing, K. L., T. B. Herman, et al. (2000). ""Results of the nest protection program for Blanding's turtle in Kejimkujik National Park, Canada: 1987-1997."" Chelonian Conservation and Biology 3(4): 637-642.| Parks Canada (2017). Blanding's turtle - Kejimkujik. Open Government Portal. https://open.canada.ca/data/en/dataset/a4fb5467-57b9-457b-86dc-7dd35596f448, Contains information licensed under the Open Government Licence – Canada.",Reptilia,Testudines,Emydidae,Emydoidea,blandingii,,Blanding's turtle,"Kejimkujik National Park, Nova Scotia",canada,Canada,North America,Americas,North America,44.36972,-65.30028,1,freshwater,,,Nearctic,Temperate coastal rivers,,,,number of nests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,13.0,16.0,2.0,4.0,5.0,12.0,17.0,16.0,22.0,15.0,,,22.0,17.0,21.0,24.0,19.0,16.0,19.0,23.0,24.0,14.0,15.0,27.0,14.0,23.0,25.0,21.0,25.0,27.0,,,,1,,29.0,1987.0,2017.0,31.0,1.0,2.0,0.9354838709677419,0.0,0.0,3.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
5466,Caretta_caretta,1,0,"Canbolat, A. F. (2004). ""A review of sea turtle nesting activity along the Mediterranean coast of Turkey."" Biological Conservation 116: 81-91.| Kaska, Y., E. Ba?kale, Y. Kat?lm??, D. Sözbilen, and M. Azmaz. 2016. Monitoring and conservation studies of sea turtles (Caretta caretta) during the 2016 nesting season om Mu?la sea turtle nesting beaches. Denizli.",Reptilia,Testudines,Cheloniidae,Caretta,caretta,,Loggerhead sea turtle / Loggerhead turtle,Fethiye 8.3km beach,türkiye,Türkiye,Asia,Europe and Central Asia,Central and Western Europe,36.69667,29.03833,1,marine,,,,,Atlantic north temperate,Mediterranean Sea and Black Sea,,number of nests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,158.0,191.0,88.0,95.0,93.0,100.0,110.0,114.0,83.0,106.0,59.0,80.0,72.0,106.0,79.0,90.0,95.0,60.0,89.0,104.0,97.0,161.0,112.0,,,,,1,,24.0,1993.0,2016.0,24.0,0.0,0.0,1.0,0.0,0.0,4.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,marine
5503,Caretta_caretta,0,1,"Ilgaz, C., O. T. rkozan, et al. (2007). ""Population decline of loggerhead turtles: two potential scenarios for Fethiye beach, Turkey."" Biodiversity and Conservation 16: 1027-1037.| Kaska, Y., E. Ba?kale, Y. Kat?lm??, D. Sözbilen, and M. Azmaz. 2016. Monitoring and conservation studies of sea turtles (Caretta caretta) during the 2016 nesting season om Mu?la sea turtle nesting beaches. Denizli.",Reptilia,Testudines,Cheloniidae,Caretta,caretta,,Loggerhead sea turtle / Loggerhead turtle,"Fethiye Bay, Mugla Province, 8 km",türkiye,Türkiye,Asia,Europe and Central Asia,Central and Western Europe,36.61667,29.11667,1,marine,,,,,Atlantic north temperate,Mediterranean Sea and Black Sea,,number of nests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,160.0,186.0,90.0,95.0,119.0,98.0,105.0,114.0,80.0,106.0,58.0,80.0,72.0,106.0,79.0,90.0,95.0,60.0,89.0,104.0,97.0,161.0,112.0,,,,,1,,24.0,1993.0,2016.0,24.0,0.0,0.0,1.0,0.0,0.0,4.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,marine
5744,Oncorhynchus_keta,0,1,"Melegari, J. L. and B. M. Osborne (2007). Enumeration of Fall Chum Salmon Using Split-beam Sonar in the Chandalar River, Yukon Flats National Wildlife Refuge, Alaska, 2002-2006. Alaska Fisheries Data Series Number 2007–3. U. S. F. a. W. Service. Fairbanks, Alaska, USFWS.| JTC (2011). Yukon River Salmon 2010 Season Summary and 2011 Season Outlook. Regional Information Report. T. U. S. a. C. Y. R. J. T. Committee, Alaska Department of Fish and Game. No. 3A11-01: 220.| Melegari, J. L. 2019. Abundance and Run Timing of Adult Fall Chum Salmon in the Teedriinjik (Chandalar)  River, Yukon Flats National Wildlife Refuge, Alaska, 2017. (Eds). U.S. Fish and Wildlife Service, Fairbanks, Alaska.",Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,,Chum salmon,"Chandalar River, Upper Yukon River, Alaska",united states,United States,North America,Americas,North America,67.03667,-146.40278,1,freshwater,,,Nearctic,Polar freshwaters,,,,number of adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280999.0,208170.0,199874.0,75811.0,88662.0,65894.0,110971.0,89580.0,214416.0,136703.0,496484.0,245090.0,228056.0,178278.0,,157998.0,275222.0,196558.0,227407.0,213525.0,162625.0,255170.0,491160.0,,,,1,,22.0,1995.0,2017.0,23.0,1.0,1.0,0.9565217391304348,0.0,0.0,3.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
5746,Oncorhynchus_keta,0,1,"JTC (2007). Yukon River salmon 2006 season summary and 2007 season outlook. Regional Information Report No. 3A07-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage.| JTC (2009). Yukon River salmon 2008 season summary and 2007 season outlook. Regional Information Report No. 3A09-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage. | JTC (Joint Technical Committee of the Yukon River U.S./Canada Panel) (2020). Yukon River salmon 2019 season summary and 2020 season outlook. Regional Information Report 3A20-01. Anchorage, Alaska, Alaska Department of Fish and Game, Division of Commercial Fisheries.",Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,,Chum salmon,"Fishing Branch River, Porcupine River drainage",canada,Canada,North America,Americas,North America,67.46583,-140.60139,1,freshwater,,,Nearctic,Polar freshwaters,,,,number of fish,,,,,,,,,,,,,,,,,,,,,,312800.0,35230.0,15991.0,31841.0,353282.0,36584.0,88400.0,40800.0,119898.0,55268.0,57386.0,15901.0,27200.0,15150.0,56223.0,31811.0,49038.0,23645.0,44042.0,35000.0,37870.0,22539.0,28707.0,65247.0,51971.0,77302.0,27031.0,13687.0,12958.0,5057.0,21737.0,13636.0,29713.0,20417.0,119058.0,30954.0,32150.0,19086.0,25828.0,15413.0,13085.0,22399.0,25376.0,7304.0,8351.0,29397.0,48524.0,10151.0,,,1,,48.0,1971.0,2018.0,48.0,0.0,0.0,1.0,0.0,0.0,2.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
5759,Oncorhynchus_kisutch,0,1,"JTC (2007). Yukon River salmon 2006 season summary and 2007 season outlook. Regional Information Report No. 3A07-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage.| JTC (2009). Yukon River salmon 2008 season summary and 2007 season outlook. Regional Information Report No. 3A09-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage. | JTC (Joint Technical Committee of the Yukon River U.S./Canada Panel) (2020). Yukon River salmon 2019 season summary and 2020 season outlook. Regional Information Report 3A20-01. Anchorage, Alaska, Alaska Department of Fish and Game, Division of Commercial Fisheries.",Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,,Coho salmon,"Lost Slough, Nenana River drainage, Yukon River drainage, Alaska",united states,United States,North America,Americas,North America,64.43583,-149.18528,1,freshwater,,,Nearctic,Polar freshwaters,,,,number of fish,,,,,,,,,,,,,,,,,,,,,,,,,1388.0,943.0,118.0,524.0,350.0,227.0,499.0,274.0,,766.0,2677.0,1584.0,794.0,2511.0,348.0,,688.0,564.0,372.0,484.0,944.0,4169.0,2040.0,1524.0,1360.0,1002.0,55.0,242.0,0.0,85.0,220.0,430.0,194.0,63.0,1342.0,410.0,1110.0,369.0,,721.0,333.0,242.0,334.0,1278.0,1822.0,,,1,,42.0,1974.0,2018.0,45.0,3.0,1.0,0.9333333333333333,1.0,0.023809523809523808,2.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
5764,Oncorhynchus_kisutch,0,1,"JTC (2007). Yukon River salmon 2006 season summary and 2007 season outlook. Regional Information Report No. 3A07-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage.| JTC (2009). Yukon River salmon 2008 season summary and 2007 season outlook. Regional Information Report No. 3A09-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage. | JTC (Joint Technical Committee of the Yukon River U.S./Canada Panel) (2020). Yukon River salmon 2019 season summary and 2020 season outlook. Regional Information Report 3A20-01. Anchorage, Alaska, Alaska Department of Fish and Game, Division of Commercial Fisheries.",Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,,Coho salmon,"Seventeen Mile Slough, Nenana River drainage Yukon, Alaska",united states,United States,North America,Americas,North America,64.55389,-149.13333,0,freshwater,,,Nearctic,Polar freshwaters,,,,number of fish,,,,,,,,,,,,,,,,,,,,,,,,,27.0,956.0,281.0,1167.0,466.0,1987.0,592.0,1005.0,,103.0,,2081.0,218.0,3802.0,,824.0,15.0,52.0,490.0,581.0,2909.0,2972.0,3666.0,1996.0,1413.0,662.0,879.0,3753.0,1910.0,4535.0,3370.0,3890.0,1916.0,1733.0,1652.0,680.0,720.0,912.0,405.0,425.0,886.0,3890.0,2746.0,1942.0,347.0,424.0,,1,,43.0,1974.0,2019.0,46.0,3.0,1.0,0.9347826086956522,0.0,0.0,1.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
5765,Oncorhynchus_kisutch,0,1,"JTC (2007). Yukon River salmon 2006 season summary and 2007 season outlook. Regional Information Report No. 3A07-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage.| JTC (2009). Yukon River salmon 2008 season summary and 2007 season outlook. Regional Information Report No. 3A09-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage. | JTC (Joint Technical Committee of the Yukon River U.S./Canada Panel) (2020). Yukon River salmon 2019 season summary and 2020 season outlook. Regional Information Report 3A20-01. Anchorage, Alaska, Alaska Department of Fish and Game, Division of Commercial Fisheries.",Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,,Coho salmon,"Delta Clearwater River, Upper Tanana river drainage, Yukon, Alaska",united states,United States,North America,Americas,North America,63.1825,-146.02806,1,freshwater,,,Nearctic,Temperate coastal rivers,,,,number of fish,,,,,,,,,,,,,,,,,,,,,,,632.0,3322.0,3954.0,5100.0,1920.0,4793.0,4798.0,8970.0,3946.0,8563.0,8365.0,8019.0,1061.0,6842.0,10857.0,22300.0,21600.0,12600.0,8325.0,23900.0,3963.0,10875.0,62675.0,20100.0,14075.0,11525.0,11100.0,10975.0,9225.0,46875.0,38625.0,105850.0,37950.0,34293.0,16748.0,14650.0,7500.0,16850.0,5867.0,6180.0,5230.0,6222.0,4285.0,19533.0,6767.0,9617.0,2884.0,2043.0,,1,,48.0,1972.0,2019.0,48.0,0.0,0.0,1.0,0.0,0.0,1.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,freshwater
