id,binomial,replicate,included_in_lpr2024,citation,class,order,family,genus,species,subspecies,common_name,location,country,all_countries,region,ipbes_region,ipbes_subregion,latitude,longitude,specific_location,system,t_realm,t_biome,fw_realm,fw_biome,m_realm,m_ocean,m_biome,units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,native,unnamed_102,n_obs,first_obs_year,last_obs_year,time_span,n_gaps,max_gap,continuity_ratio,zero_count,zero_share,years_since_last_obs,has_coordinates,has_country,has_valid_coordinates,has_binomial,has_class,has_order,has_family,has_genus,has_species,has_taxonomy_hierarchy,unit_category,unit_usable,system_group
3090,Troglodytes_troglodytes,0,1,"Sauer, J. R., D. K. Niven, J. E. Hines, D. J. Ziolkowski, K. L. Pardieck, J. E. Fallon and W. A. Link (2017). The North American Breeding Bird Survey, Results and Analysis 1966 - 2015. Version 2.07.2017. Laurel, MD, USGS Patuxent Wildlife Research Center.",Aves,Passeriformes,Troglodytidae,Troglodytes,troglodytes,,Northern wren,United States and Canada,united states,"United States, Canada",North America,Americas,North America,48.99722,-97.22917,0,terrestrial,Nearctic,Temperate broadleaf and mixed forests,,,,,,annual index of abundance,,,,,,,,,,,,,,,,,4.885668,4.842332,5.596795,4.748188,5.417766,5.589465,5.035918,5.294187,6.652427,7.615932,6.986768,4.525492,3.781979,4.351219,5.235296,4.155356,4.682741,5.685669,5.001901,5.202785,5.534114,6.062214,6.438263,6.775506,6.365553,6.557564,6.25049,7.874584,8.307364,8.966677,6.108391,6.972669,8.490962,9.507579,7.499592,6.405978,8.060344,6.355746,8.347577,8.98768,10.133726,8.104956,7.447181,8.80939,9.44489,6.11512,7.687175,8.151791,7.376838,5.461201,,,,,,1,,50.0,1966.0,2015.0,50.0,0.0,0.0,1.0,0.0,0.0,5.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3195,Ammospiza_leconteii,0,1,"Sauer, J. R., D. K. Niven, J. E. Hines, D. J. Ziolkowski, K. L. Pardieck, J. E. Fallon and W. A. Link (2017). The North American Breeding Bird Survey, Results and Analysis 1966 - 2015. Version 2.07.2017. Laurel, MD, USGS Patuxent Wildlife Research Center.",Aves,Passeriformes,Passerellidae,Ammospiza,leconteii,,Le Conte's sparrow,United States and Canada,united states,"United States, Canada",North America,Americas,North America,48.99722,-97.22917,0,terrestrial,Nearctic,"Temperate grasslands, savannas and shrublands",,,,,,annual index of abundance,,,,,,,,,,,,,,,,,1.106878,1.063398,1.019015,1.012883,1.122563,1.276412,1.414044,1.592162,2.031173,2.374555,2.335489,2.124367,1.726127,1.465612,1.534553,1.905325,1.824535,1.795349,1.769531,1.535891,1.812725,2.13089,2.208799,2.158519,2.46858,2.775958,2.261685,2.214547,2.101765,2.080189,1.97357,1.810098,2.042991,2.091035,1.767632,1.239592,1.176078,1.100711,1.193756,1.315837,1.422786,1.460634,1.354234,1.202715,1.031623,0.976538,0.946159,0.863763,0.784945,0.795217,0.84074,0.8959,0.997066,0.749963,0.608817,1,,55.0,1966.0,2020.0,55.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3261,Branta_canadensis,1,0,"Environment Canada (2015). ""North American Breeding Bird Survey - Canadian Trends Website."" Data-version 2014. from http://www.ec.gc.ca/ron-bbs/P001/A001/?lang=e.",Aves,Anseriformes,Anatidae,Branta,canadensis,,Canada goose,Canada,canada,Canada,North America,Americas,North America,60.0,-98.0,0,terrestrial,Nearctic,Boreal forests/taiga,,,,,,annual index of population change,,,,,,,,,,,,,,,,,,,,,5.76,6.23,6.52,7.02,8.04,7.83,8.15,10.2,11.1,10.7,11.6,12.2,13.4,14.2,16.0,16.9,17.9,19.3,20.5,22.2,25.0,26.5,27.3,30.0,33.1,37.2,42.6,43.7,45.1,51.2,51.7,68.7,70.6,71.8,72.4,82.7,86.5,99.3,112.0,121.0,125.0,134.0,152.0,181.0,191.0,,,,,,,1,,45.0,1970.0,2014.0,45.0,0.0,0.0,1.0,0.0,0.0,6.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3274,Calcarius_ornatus,1,0,"Environment Canada (2014). ""North American Breeding Bird Survey - Canadian Trends Website."" Data-version 2012. from http://www.ec.gc.ca/ron-bbs/P001/A001/?lang=e.",Aves,Passeriformes,Calcariidae,Calcarius,ornatus,,Chestnut-collared longspur,Alberta,canada,Canada,North America,Americas,North America,55.0,-115.0,0,terrestrial,Nearctic,"Temperate grasslands, savannas and shrublands",,,,,,annual index of population change,,,,,,,,,,,,,,,,,,,,,282.0,270.0,176.0,175.0,180.0,179.0,174.0,173.0,134.0,144.0,124.0,134.0,109.0,80.8,89.7,80.9,67.8,60.8,73.7,63.4,60.3,55.1,68.4,50.7,45.3,49.3,41.1,41.0,26.5,23.0,22.1,17.7,17.8,17.0,18.7,15.9,18.8,15.2,15.6,13.3,10.0,9.96,10.3,,,,,,,,,1,,43.0,1970.0,2012.0,43.0,0.0,0.0,1.0,0.0,0.0,8.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3275,Calcarius_ornatus,1,0,"Environment Canada (2015). ""North American Breeding Bird Survey - Canadian Trends Website."" Data-version 2014. from http://www.ec.gc.ca/ron-bbs/P001/A001/?lang=e.",Aves,Passeriformes,Calcariidae,Calcarius,ornatus,,Chestnut-collared longspur,Saskatchewan,canada,Canada,North America,Americas,North America,54.0,-106.0,0,terrestrial,Nearctic,"Temperate grasslands, savannas and shrublands",,,,,,annual index of population change,,,,,,,,,,,,,,,,,,,,,37.5,35.7,34.2,35.0,32.7,30.3,28.6,26.9,26.1,25.8,24.7,24.0,22.6,20.4,20.3,19.1,18.1,17.8,16.4,15.9,15.4,14.5,13.7,13.2,13.1,11.7,11.6,10.9,10.4,10.1,8.95,8.93,8.5,8.05,7.91,7.5,7.32,6.85,6.56,6.48,6.1,5.79,5.4,5.18,4.75,,,,,,,1,,45.0,1970.0,2014.0,45.0,0.0,0.0,1.0,0.0,0.0,6.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3277,Spinus_tristis,1,0,"Environment Canada (2015). ""North American Breeding Bird Survey - Canadian Trends Website."" Data-version 2014. from http://www.ec.gc.ca/ron-bbs/P001/A001/?lang=e.",Aves,Passeriformes,Fringillidae,Spinus,tristis,,American goldfinch,British Columbia,canada,Canada,North America,Americas,North America,55.0,-125.0,0,terrestrial,Nearctic,Boreal forests/taiga,,,,,,annual index of population change,,,,,,,,,,,,,,,,,,,,,4.0,4.69,3.7,4.05,3.52,3.41,3.5,3.4,3.22,2.94,2.95,3.0,2.26,2.25,2.26,2.03,2.11,1.9,2.11,2.0,2.0,2.08,1.89,1.78,1.65,1.48,1.13,0.999,1.05,0.874,1.04,0.892,0.908,0.943,0.867,0.806,1.01,1.32,1.23,0.808,0.888,0.72,0.82,0.846,0.901,,,,,,,1,,45.0,1970.0,2014.0,45.0,0.0,0.0,1.0,0.0,0.0,6.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3290,Hesperiphona_vespertina,1,0,"Environment Canada (2015). ""North American Breeding Bird Survey - Canadian Trends Website."" Data-version 2014. from http://www.ec.gc.ca/ron-bbs/P001/A001/?lang=e.",Aves,Passeriformes,Fringillidae,Hesperiphona,vespertina,,Evening grosbeak,British Columbia,canada,Canada,North America,Americas,North America,55.0,-125.0,0,terrestrial,Nearctic,Boreal forests/taiga,,,,,,annual index of population change,,,,,,,,,,,,,,,,,,,,,5.36,3.04,2.5,1.77,2.03,3.22,1.46,1.09,1.23,2.11,2.61,5.18,1.56,1.8,2.28,1.79,1.7,1.73,2.41,5.05,2.94,2.84,2.63,2.55,2.56,2.84,3.26,0.982,1.91,1.8,1.04,0.788,0.686,0.803,0.929,0.674,0.796,0.993,1.21,1.83,1.98,1.65,1.34,0.933,0.838,,,,,,,1,,45.0,1970.0,2014.0,45.0,0.0,0.0,1.0,0.0,0.0,6.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3314,Dolichonyx_oryzivorus,1,0,"Environment Canada (2013). ""North American Breeding Bird Survey - Canadian Trends Website."" Data-version 2011. from http://www.ec.gc.ca/ron-bbs/P001/A001/?lang=e.",Aves,Passeriformes,Icteridae,Dolichonyx,oryzivorus,,Bobolink,Nova Scotia,canada,Canada,North America,Americas,North America,45.0,-63.0,0,terrestrial,Nearctic,Temperate broadleaf and mixed forests,,,,,,annual index of population change,,,,,,,,,,,,,,,,,,,,,21.7,23.3,27.7,32.0,35.9,30.0,28.5,26.2,23.4,24.8,25.5,24.2,23.4,23.1,22.3,18.3,16.2,13.5,11.6,9.82,12.4,12.5,9.71,8.47,7.52,7.56,6.95,6.17,5.11,4.21,4.27,3.98,3.98,3.74,3.51,3.3,3.74,3.44,3.07,2.5,2.53,2.66,,,,,,,,,,1,,42.0,1970.0,2011.0,42.0,0.0,0.0,1.0,0.0,0.0,9.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3324,Euphagus_cyanocephalus,1,0,"Environment Canada (2015). ""North American Breeding Bird Survey - Canadian Trends Website."" Data-version 2014. from http://www.ec.gc.ca/ron-bbs/P001/A001/?lang=e.",Aves,Passeriformes,Icteridae,Euphagus,cyanocephalus,,Brewer's blackbird,British Columbia,canada,Canada,North America,Americas,North America,55.0,-125.0,0,terrestrial,Nearctic,"Temperate grasslands, savannas and shrublands",,,,,,annual index of population change,,,,,,,,,,,,,,,,,,,,,15.3,14.7,14.5,14.1,13.5,12.8,12.8,12.5,12.5,11.8,11.5,11.9,10.6,11.3,11.7,10.8,10.7,10.3,9.92,9.04,9.08,9.36,7.86,8.81,9.14,8.79,8.9,8.43,7.97,7.9,7.44,8.4,7.7,7.21,7.26,7.56,6.96,6.82,6.77,6.71,6.31,5.86,5.46,5.44,5.73,,,,,,,1,,45.0,1970.0,2014.0,45.0,0.0,0.0,1.0,0.0,0.0,6.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3339,Molothrus_ater,1,0,"Environment Canada (2015). ""North American Breeding Bird Survey - Canadian Trends Website."" Data-version 2014. from http://www.ec.gc.ca/ron-bbs/P001/A001/?lang=e.",Aves,Passeriformes,Icteridae,Molothrus,ater,,Brown-headed cowbird,British Columbia,canada,Canada,North America,Americas,North America,55.0,-125.0,0,terrestrial,Nearctic,Boreal forests/taiga,,,,,,annual index of population change,,,,,,,,,,,,,,,,,,,,,9.84,9.44,9.25,8.31,8.54,8.14,7.85,8.5,7.53,7.36,7.06,6.64,6.49,6.59,6.57,6.33,6.15,5.69,5.83,5.58,5.09,5.14,5.16,4.82,4.93,4.48,4.55,4.2,4.14,3.89,3.74,3.5,3.4,3.21,3.0,3.1,2.97,3.13,3.0,2.89,2.88,2.77,2.6,2.35,2.42,,,,,,,1,,45.0,1970.0,2014.0,45.0,0.0,0.0,1.0,0.0,0.0,6.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
