id,binomial,replicate,included_in_lpr2024,citation,class,order,family,genus,species,subspecies,common_name,location,country,all_countries,region,ipbes_region,ipbes_subregion,latitude,longitude,specific_location,system,t_realm,t_biome,fw_realm,fw_biome,m_realm,m_ocean,m_biome,units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,native,unnamed_102,n_obs,first_obs_year,last_obs_year,time_span,n_gaps,max_gap,continuity_ratio,zero_count,zero_share,years_since_last_obs,has_coordinates,has_country,has_valid_coordinates,has_binomial,has_class,has_order,has_family,has_genus,has_species,has_taxonomy_hierarchy,unit_category,unit_usable,system_group
3090,Troglodytes_troglodytes,0,1,"Sauer, J. R., D. K. Niven, J. E. Hines, D. J. Ziolkowski, K. L. Pardieck, J. E. Fallon and W. A. Link (2017). The North American Breeding Bird Survey, Results and Analysis 1966 - 2015. Version 2.07.2017. Laurel, MD, USGS Patuxent Wildlife Research Center.",Aves,Passeriformes,Troglodytidae,Troglodytes,troglodytes,,Northern wren,United States and Canada,united states,"United States, Canada",North America,Americas,North America,48.99722,-97.22917,0,terrestrial,Nearctic,Temperate broadleaf and mixed forests,,,,,,annual index of abundance,,,,,,,,,,,,,,,,,4.885668,4.842332,5.596795,4.748188,5.417766,5.589465,5.035918,5.294187,6.652427,7.615932,6.986768,4.525492,3.781979,4.351219,5.235296,4.155356,4.682741,5.685669,5.001901,5.202785,5.534114,6.062214,6.438263,6.775506,6.365553,6.557564,6.25049,7.874584,8.307364,8.966677,6.108391,6.972669,8.490962,9.507579,7.499592,6.405978,8.060344,6.355746,8.347577,8.98768,10.133726,8.104956,7.447181,8.80939,9.44489,6.11512,7.687175,8.151791,7.376838,5.461201,,,,,,1,,50.0,1966.0,2015.0,50.0,0.0,0.0,1.0,0.0,0.0,5.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3195,Ammospiza_leconteii,0,1,"Sauer, J. R., D. K. Niven, J. E. Hines, D. J. Ziolkowski, K. L. Pardieck, J. E. Fallon and W. A. Link (2017). The North American Breeding Bird Survey, Results and Analysis 1966 - 2015. Version 2.07.2017. Laurel, MD, USGS Patuxent Wildlife Research Center.",Aves,Passeriformes,Passerellidae,Ammospiza,leconteii,,Le Conte's sparrow,United States and Canada,united states,"United States, Canada",North America,Americas,North America,48.99722,-97.22917,0,terrestrial,Nearctic,"Temperate grasslands, savannas and shrublands",,,,,,annual index of abundance,,,,,,,,,,,,,,,,,1.106878,1.063398,1.019015,1.012883,1.122563,1.276412,1.414044,1.592162,2.031173,2.374555,2.335489,2.124367,1.726127,1.465612,1.534553,1.905325,1.824535,1.795349,1.769531,1.535891,1.812725,2.13089,2.208799,2.158519,2.46858,2.775958,2.261685,2.214547,2.101765,2.080189,1.97357,1.810098,2.042991,2.091035,1.767632,1.239592,1.176078,1.100711,1.193756,1.315837,1.422786,1.460634,1.354234,1.202715,1.031623,0.976538,0.946159,0.863763,0.784945,0.795217,0.84074,0.8959,0.997066,0.749963,0.608817,1,,55.0,1966.0,2020.0,55.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3512,Accipiter_nisus,0,1,"EBCC/BirdLife/RSPB/CSO (2021) Trends of common birds in Europe, 2021 update. Available at: https://pecbms.info/trends-and-indicators/species-trends/.",Aves,Accipitriformes,Accipitridae,Accipiter,nisus,,Eurasian sparrowhawk,"Europe - BE, CZ, DK, FR, DE, HU, IT, LV, NL, PL, IE, ES, SE,CH, GB",united kingdom,"United Kingdom, France, Sweden, Germany, Spain, Netherlands, Czech Republic, Denmark, Belgium, Switzerland, Ireland, Poland, Italy, Latvia, Hungary",Europe,Europe and Central Asia,Central and Western Europe,50.52528,7.59722,0,terrestrial,Palearctic,Temperate broadleaf and mixed forests,,,,,,index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,104.550897,95.708257,86.136048,103.252465,99.431138,98.150267,88.430654,86.420745,292.84479,133.560204,213.869946,179.742384,132.182855,167.945537,115.638232,116.762463,140.045122,110.561963,124.227781,105.268841,126.98943,114.90314,94.921963,110.709441,111.224464,130.612514,105.09977,114.763473,107.462631,93.456833,98.931889,105.242194,84.454254,88.442587,108.531731,107.15619,92.560939,96.204239,93.236305,101.341613,1,,41.0,1980.0,2020.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3513,Buteo_buteo,0,1,"EBCC/BirdLife/RSPB/CSO (2021) Trends of common birds in Europe, 2021 update. Available at: https://pecbms.info/trends-and-indicators/species-trends/.",Aves,Accipitriformes,Accipitridae,Buteo,buteo,,Eurasian buzzard,"Europe - AT, BE, BG, CZ, DK, EE, FR, DE, GR, HU, IT, LV, LU, NL, PL, PT, SK, SI, ES, SE, CH, GB",france,"France, Germany, Poland, United Kingdom, Sweden, Switzerland, Latvia, Spain, Hungary, Czech Republic, Austria, Netherlands, Denmark, Belgium, Slovakia, Estonia, Italy, Greece, Slovenia, Portugal, Bulgaria, Luxembourg",Europe,Europe and Central Asia,Central and Western Europe,50.52528,7.59722,0,terrestrial,Palearctic,Temperate broadleaf and mixed forests,,,,,,index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,112.936716,137.232084,117.126995,108.784477,112.925393,108.884515,116.052688,124.722169,263.936994,282.207192,314.820358,271.554603,225.183988,281.00416,280.609892,321.836267,285.42717,274.959209,277.425958,279.057463,265.520318,249.068827,237.486103,229.444435,245.047966,239.359306,243.945384,255.952105,224.644319,212.535772,226.697893,241.000506,217.926943,219.729093,244.85623,249.986013,228.400735,207.635492,212.13821,233.783603,1,,41.0,1980.0,2020.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3514,Falco_tinnunculus,0,1,"EBCC/BirdLife/RSPB/CSO (2021) Trends of common birds in Europe, 2021 update. Available at: https://pecbms.info/trends-and-indicators/species-trends/.",Aves,Falconiformes,Falconidae,Falco,tinnunculus,,Common kestrel,"Europe - AT, BE, BG, CY, CZ, DK, FR, DE, GR, HU, IT, LU, NL, PL, PT, IE, SK, SI, ES, SE, CH, GB",france,"France, Germany, United Kingdom, Spain, Czech Republic, Italy, Austria, Greece, Poland, Netherlands, Slovakia, Belgium, Hungary, Switzerland, Ireland, Bulgaria, Sweden, Denmark, Cyprus, Slovenia, Portugal, Luxembourg",Europe,Europe and Central Asia,Central and Western Europe,50.52528,7.59722,0,terrestrial,Palearctic,Temperate broadleaf and mixed forests,,,,,,index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.038146,91.272103,73.689333,81.813229,65.539429,60.197433,58.525019,64.797276,89.042632,100.23719,99.364553,84.169695,102.810837,109.009864,80.820711,91.676046,86.559554,83.661983,82.885421,76.400411,70.474516,63.422434,60.032857,59.170419,68.518805,65.984701,60.637645,74.523128,60.443775,54.324382,59.809912,63.376952,59.331388,56.373194,65.108158,68.151712,64.129812,60.929736,64.233934,73.325551,1,,41.0,1980.0,2020.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3515,Bonasa_bonasia,0,1,"EBCC/BirdLife/RSPB/CSO (2021) Trends of common birds in Europe, 2021 update. Available at: https://pecbms.info/trends-and-indicators/species-trends/.",Aves,Galliformes,Phasianidae,Bonasa,bonasia,,Hazel grouse,"Europe - EE, FI, LV, SE, CH",finland,"Finland, Sweden, Estonia, Latvia, Switzerland",Europe,Europe and Central Asia,Central and Western Europe,50.52528,7.59722,0,terrestrial,Palearctic,Temperate broadleaf and mixed forests,,,,,,index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,77.237328,64.980619,97.85992,113.176974,113.340748,100.71313,127.617236,94.104423,131.927856,113.731181,120.600983,81.983245,98.406119,88.610115,74.326278,103.842582,73.154978,105.24747,83.738673,89.401585,81.616328,86.077914,107.898197,94.319744,73.726823,106.932979,86.269719,79.180398,73.850913,79.772714,115.127881,94.938726,93.326601,92.346475,55.353462,40.031234,62.43029,42.186124,72.533686,62.342629,1,,41.0,1980.0,2020.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3516,Burhinus_oedicnemus,0,1,"EBCC/BirdLife/RSPB/CSO (2021) Trends of common birds in Europe, 2021 update. Available at: https://pecbms.info/trends-and-indicators/species-trends/.",Aves,Charadriiformes,Burhinidae,Burhinus,oedicnemus,,Eurasian thick-knee / Stone curlew,"Europe - FR, IT, ES",spain,"Spain, France, Italy",Europe,Europe and Central Asia,Central and Western Europe,50.52528,7.59722,0,terrestrial,Palearctic,Temperate broadleaf and mixed forests,,,,,,index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,87.719476,71.744646,50.419742,65.981355,88.115295,85.135782,69.643763,75.022836,95.856229,96.698613,85.056038,85.579446,78.443114,74.458831,63.944266,74.081861,65.495643,72.898755,61.13729,68.886924,61.565006,65.54059,1,,23.0,1998.0,2020.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3517,Vanellus_vanellus,0,1,"EBCC/BirdLife/RSPB/CSO (2021) Trends of common birds in Europe, 2021 update. Available at: https://pecbms.info/trends-and-indicators/species-trends/.",Aves,Charadriiformes,Charadriidae,Vanellus,vanellus,,Northern lapwing,"Europe - AT, BE, CZ, DK, EE, FI, FR, DE, HU, IT, LV, NL, NO, PL, SK, SI, SE, GB",netherlands,"Netherlands, United Kingdom, Poland, Hungary, Germany, Finland, Sweden, Norway, Denmark, Belgium, France, Estonia, Latvia, Czech Republic, Austria, Slovakia, Slovenia, Italy",Europe,Europe and Central Asia,Central and Western Europe,50.52528,7.59722,0,terrestrial,Palearctic,Temperate broadleaf and mixed forests,,,,,,index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,107.693295,157.374076,122.717019,100.643363,85.100894,103.361502,71.946196,77.306675,76.921079,79.215528,94.572352,95.705963,83.813742,106.337982,63.135697,58.270216,64.677917,61.676208,70.023148,69.801738,65.231082,63.506045,63.732945,65.380962,64.371225,61.610389,54.416984,56.104058,52.886616,56.142751,57.146098,51.154294,48.377517,47.781728,51.320537,47.823138,45.422823,43.09607,41.047514,40.974757,1,,41.0,1980.0,2020.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3519,Columba_palumbus,0,1,"EBCC/BirdLife/RSPB/CSO (2021) Trends of common birds in Europe, 2021 update. Available at: https://pecbms.info/trends-and-indicators/species-trends/.",Aves,Columbiformes,Columbidae,Columba,palumbus,,Common woodpigeon,"Europe - AT, BE, BG, CY, CZ, DK, EE, FI, FR, DE, HU, IT, LV, LU, NL, NO, PL, PT, IE, SK, SI, ES, SE, CH, GB",united kingdom,"United Kingdom, Germany, France, Ireland, Poland, Netherlands, Sweden, Denmark, Czech Republic, Finland, Norway, Belgium, Spain, Hungary, Slovakia, Switzerland, Estonia, Latvia, Italy, Austria, Bulgaria, Cyprus, Portugal, Luxembourg, Slovenia",Europe,Europe and Central Asia,Central and Western Europe,50.52528,7.59722,0,terrestrial,Palearctic,Temperate broadleaf and mixed forests,,,,,,index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,101.380068,105.328877,110.995675,136.272853,136.960569,128.449941,132.142993,135.94148,116.224456,135.997878,143.665443,136.703339,134.71077,139.86878,123.900087,134.743166,126.790069,137.047842,153.399216,145.49889,152.021809,158.569198,152.76247,160.896132,158.086379,164.737086,161.82673,176.223183,173.050458,177.868289,176.764628,189.111278,180.655374,182.868968,189.37449,187.791632,196.008631,210.673042,212.080022,220.028892,1,,41.0,1980.0,2020.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
3520,Streptopelia_turtur,0,1,"EBCC/BirdLife/RSPB/CSO (2021) Trends of common birds in Europe, 2021 update. Available at: https://pecbms.info/trends-and-indicators/species-trends/.",Aves,Columbiformes,Columbidae,Streptopelia,turtur,turtur,European turtle-dove,"Europe - AT, BE, BG, CY, CZ, EE, FR, DE, GR, HU, IT, LV, NL, PL, PT, RO, SK, SI, ES, CH, GB",spain,"Spain, Italy, Hungary, France, Czech Republic, Germany, United Kingdom, Poland, Bulgaria, Slovakia, Romania, Portugal, Greece, Netherlands, Austria, Belgium, Cyprus, Estonia, Slovenia, Switzerland, Latvia",Europe,Europe and Central Asia,Central and Western Europe,50.52528,7.59722,0,terrestrial,Palearctic,Temperate broadleaf and mixed forests,,,,,,index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,94.003657,81.883724,83.713858,75.471528,69.794566,66.568363,63.578086,53.948792,26.911517,29.271813,23.486256,28.454019,29.329582,27.888312,24.800492,23.98998,25.931663,27.017884,25.409791,24.725747,25.120795,24.127023,23.650246,25.866483,24.952786,23.596557,24.244509,21.616775,21.699201,19.423059,19.771131,18.482328,17.506635,17.652012,17.543156,16.816174,17.10319,17.165949,16.101611,15.673472,1,,41.0,1980.0,2020.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,index_or_relative,False,terrestrial
