id,binomial,replicate,included_in_lpr2024,citation,class,order,family,genus,species,subspecies,common_name,location,country,all_countries,region,ipbes_region,ipbes_subregion,latitude,longitude,specific_location,system,t_realm,t_biome,fw_realm,fw_biome,m_realm,m_ocean,m_biome,units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,native,unnamed_102,n_obs,first_obs_year,last_obs_year,time_span,n_gaps,max_gap,continuity_ratio,zero_count,zero_share,years_since_last_obs,has_coordinates,has_country,has_valid_coordinates,has_binomial,has_class,has_order,has_family,has_genus,has_species,has_taxonomy_hierarchy,unit_category,unit_usable,system_group
27563,Gulo_gulo,0,1,"Kojola, I., S. Heikkinen, S. Mäntyniemi and T. Ollila (2020). Ahmakannan kehitys ja ahmakanta Suomessa 2020. Helsinki, Natural Resources Institute Finland.",Mammalia,Carnivora,Mustelidae,Gulo,gulo,,Wolverine,Finland (inside reindeer areas),finland,Finland,Europe,Europe and Central Asia,Central and Western Europe,65.366353,28.516576,0,terrestrial,Palearctic,Boreal forests/taiga,,,,,,estimated number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1429,5.4622,3.5247,3.233,3.5247,3.5247,9.2437,8.1933,9.0686,13.8655,7.1429,9.6639,8.1933,5.859,5.8824,14.6125,22.2689,20.74,22.6891,37.395,36.1345,50.5019,58.8235,37.395,37.395,54.2017,59.2437,57.9832,61.7647,92.437,74.3697,100.0,1,,32.0,1989.0,2020.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
27564,Gulo_gulo,0,1,"Kojola, I., S. Heikkinen, S. Mäntyniemi and T. Ollila (2020). Ahmakannan kehitys ja ahmakanta Suomessa 2020. Helsinki, Natural Resources Institute Finland.",Mammalia,Carnivora,Mustelidae,Gulo,gulo,,Wolverine,Finland (outside reindeer areas),finland,Finland,Europe,Europe and Central Asia,Central and Western Europe,65.366353,28.516576,0,terrestrial,Palearctic,Boreal forests/taiga,,,,,,estimated number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0769,17.5824,18.6813,18.6813,24.1758,29.6703,31.8681,30.7692,38.4615,40.6593,37.3626,41.7582,46.1538,48.3516,72.5275,76.9231,92.3077,91.2088,90.1099,104.3956,105.4945,120.8791,136.2637,118.6813,135.1648,164.8352,200.0,218.6813,236.2637,267.033,253.8462,327.4725,1,,32.0,1989.0,2020.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
27565,Gulo_gulo,0,1,"Mattisson, J., L. Höglund and H. Brøseth (2020). Bestandsovervåking av jerv i 2020. Inventering av järv 2020. Bestandsstatus for store rovdyr i Skandinavia. Beståndsstatus för stora rovdjur i Skandinavien. Trondheim and Grimsö, NINA and Sveriges Lantbruksuniversitet.",Mammalia,Carnivora,Mustelidae,Gulo,gulo,,Wolverine,Sweden,sweden,Sweden,Europe,Europe and Central Asia,Central and Western Europe,64.444593,15.165737,0,terrestrial,Palearctic,Boreal forests/taiga,,,,,,estimated number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.0,380.0,328.0,319.0,313.0,343.0,386.0,431.0,425.0,444.0,511.0,575.0,654.0,669.0,751.0,715.0,648.0,587.0,498.0,523.0,584.0,676.0,687.0,1,,23.0,1998.0,2020.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
27566,Gulo_gulo,0,1,"Mattisson, J., L. Höglund and H. Brøseth (2020). Bestandsovervåking av jerv i 2020. Inventering av järv 2020. Bestandsstatus for store rovdyr i Skandinavia. Beståndsstatus för stora rovdjur i Skandinavien. Trondheim and Grimsö, NINA and Sveriges Lantbruksuniversitet.",Mammalia,Carnivora,Mustelidae,Gulo,gulo,,Wolverine,Norway,norway,Norway,Europe,Europe and Central Asia,Central and Western Europe,64.867984,12.439186,0,terrestrial,Palearctic,Boreal forests/taiga,,,,,,estimated number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,226.0,261.0,261.0,239.0,245.0,258.0,325.0,344.0,351.0,331.0,322.0,354.0,366.0,398.0,354.0,341.0,335.0,347.0,322.0,306.0,331.0,382.0,1,,23.0,1998.0,2020.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
27730,Alces_americanus,0,1,Kluane National Park (2017) ‘Moose Survey Counts - Kluane’. Parks Canada. Available at: https://open.canada.ca/data/en/dataset/b10f3d90-fdd2-4177-b390-d635d0f12b11.,Mammalia,Artiodactyla,Cervidae,Alces,americanus,,Moose,"Duke, Kluane National Park and Reserve, Yukon",canada,Canada,North America,Americas,North America,60.749785,-139.500032,1,terrestrial,Nearctic,Boreal forests/taiga,,,,,,adult individuals (bulls and cows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,92.0,87.0,112.0,100.0,86.0,93.0,91.0,90.0,92.0,80.0,,74.0,75.0,61.0,54.0,56.0,68.0,51.0,40.0,34.0,,38.0,42.0,36.0,37.0,25.0,31.0,32.0,,51.0,60.0,47.0,79.0,58.0,,72.0,49.0,44.0,66.0,1,,36.0,1981.0,2020.0,40.0,4.0,1.0,0.9,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
110261,Burramys_parvus,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Mammalia,Diprotodontia,Burramyidae,Burramys,parvus,,Mountain Pygmy-possum,Victorian Alps,australia,Australia,Oceania,Asia and the Pacific,Oceania,-37.20899415,146.8452524,0,terrestrial,Australasia,Temperate broadleaf and mixed forests,,,,,,sample: occupancy (# presences/# surveys = trapping success: number of encounters (captures) of males per 100 trap nights of effort),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.111111111,0.0,0.714285714,1.19047619,1.285714286,4.0,3.125,2.916666667,4.0,2.0,2.5,2.125,4.0,2.65625,4.0,2.625,1.25,2.5,2.375,3.5,2.125,0.875,2.5,1.5625,6.625,1.375,1.25,4.84375,1.25,1.25,2.8125,4.6875,6.40625,2.34375,2.34375,0.78125,1.25,5.859375,4.84375,1,,39.0,1982.0,2020.0,39.0,0.0,0.0,1.0,1.0,0.02564102564102564,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
110266,Gymnobelideus_leadbeateri,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Mammalia,Diprotodontia,Petauridae,Gymnobelideus,leadbeateri,,Leadbeater's Possum,Highlands-Southern Fall,australia,Australia,Oceania,Asia and the Pacific,Oceania,-37.67163105,146.4117217,0,terrestrial,Australasia,Temperate broadleaf and mixed forests,,,,,,sample: abundance (counts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,20.0,2001.0,2020.0,20.0,0.0,0.0,1.0,18.0,0.9,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
110277,Gymnobelideus_leadbeateri,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Mammalia,Diprotodontia,Petauridae,Gymnobelideus,leadbeateri,,Leadbeater's Possum,Highlands-Southern Fall,australia,Australia,Oceania,Asia and the Pacific,Oceania,-37.67163105,146.4117217,0,terrestrial,Australasia,Temperate broadleaf and mixed forests,,,,,,sample: abundance (counts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,4.0,2.0,5.0,6.0,5.0,7.0,5.0,6.0,5.0,6.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,5.0,1,,20.0,2001.0,2020.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
110278,Gymnobelideus_leadbeateri,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Mammalia,Diprotodontia,Petauridae,Gymnobelideus,leadbeateri,,Leadbeater's Possum,Highlands-Southern Fall,australia,Australia,Oceania,Asia and the Pacific,Oceania,-37.67163105,146.4117217,0,terrestrial,Australasia,Temperate broadleaf and mixed forests,,,,,,sample: abundance (counts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,7.0,8.0,6.0,4.0,5.0,6.0,4.0,3.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,20.0,2001.0,2020.0,20.0,0.0,0.0,1.0,6.0,0.3,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
111105,Petrogale_xanthopus,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Mammalia,Diprotodontia,Macropodidae,Petrogale,xanthopus,,Yellow-footed Rock-wallaby,Mootwingee Downs,australia,Australia,Oceania,Asia and the Pacific,Oceania,-30.92166381,142.4356037,0,terrestrial,Australasia,Deserts and xeric shrublands,,,,,,sample: abundance (counts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,21.0,26.0,11.0,20.0,24.0,,18.0,17.0,18.0,19.0,18.0,10.0,7.0,15.0,12.0,17.0,17.0,9.0,10.0,15.0,15.0,15.0,7.0,19.0,16.0,15.0,12.5,24.5,25.0,26.5,45.0,58.5,54.0,57.5,57.5,59.5,62.0,36.0,24.5,20.0,1,,40.0,1980.0,2020.0,41.0,1.0,1.0,0.975609756097561,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
111106,Petrogale_xanthopus,0,1,"TSX (2023). The Australian Threatened Species Index (2023). Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland",Mammalia,Diprotodontia,Macropodidae,Petrogale,xanthopus,,Yellow-footed Rock-wallaby,Mootwingee Downs,australia,Australia,Oceania,Asia and the Pacific,Oceania,-30.92166381,142.4356037,0,terrestrial,Australasia,Deserts and xeric shrublands,,,,,,sample: abundance (counts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,28.0,19.0,10.0,11.0,28.0,,13.0,18.0,19.0,22.0,22.0,18.0,13.0,7.0,9.0,22.0,34.0,30.0,30.0,105.0,118.5,71.5,30.0,41.5,44.5,34.5,54.5,72.5,59.0,47.0,99.0,96.5,97.0,61.0,51.0,53.5,62.5,58.0,30.0,44.0,1,,40.0,1980.0,2020.0,41.0,1.0,1.0,0.975609756097561,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
