entity_type,entity_id,name,country,species_binomial,n_data_points,year_min,year_max,json_path
population,123801,Helmeted Honeyeater,australia,Lichenostomus_melanops,31,1990,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_123801.json
population,123802,Helmeted Honeyeater,australia,Lichenostomus_melanops,20,2001,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_123802.json
population,110266,Leadbeater's Possum,australia,Gymnobelideus_leadbeateri,20,2001,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_110266.json
population,110277,Leadbeater's Possum,australia,Gymnobelideus_leadbeateri,20,2001,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_110277.json
population,110278,Leadbeater's Possum,australia,Gymnobelideus_leadbeateri,20,2001,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_110278.json
population,120267,Malleefowl,australia,Leipoa_ocellata,28,1993,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120267.json
population,120269,Malleefowl,australia,Leipoa_ocellata,29,1990,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120269.json
population,120294,Malleefowl,australia,Leipoa_ocellata,24,1996,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120294.json
population,120302,Malleefowl,australia,Leipoa_ocellata,26,1995,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120302.json
population,120303,Malleefowl,australia,Leipoa_ocellata,26,1995,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\population_reports\population_120303.json
